source,target
IL2RA,IL7
IL7,IL2RB
IL2RA,STAT3
FOXP3,IL2RB
IL2RG,STAT5B
IL2RG,IL2RB
STAT3,IL2RB
FOXP3,IL7
IL2RG,IL2
IL2,IL2RB
IL2RG,IL7
TNFRSF18,CD8A
IL2RA,IL2RG
STAT5B,IL7
IL2RA,CD8A
FOXP3,TNFRSF18
STAT5B,IL2
IL7,CD4
IL2RG,STAT3
TNFRSF18,CD4
CD8A,STAT3
IL2RA,IL2RB
FOXP3,IL2RG
STAT5B,IL2RB
IL2RA,CD4
IL2RA,FOXP3
MGLL,MOGAT3
LIPF,CLPS
CEL,CLPS
PNLIP,LPL
PNPLA2,LIPG
PPAP2C,LIPC
LIPF,MOGAT3
PNPLA2,MGLL
LIPC,LIPG
PNLIP,PPAP2C
PPAP2C,LPL
LIPF,LIPG
LIPF,PNPLA2
CEL,PNPLA2
LIPF,LPL
CEL,LIPG
PPAP2C,MOGAT3
CEL,LPL
LPL,LIPG
CEL,MOGAT3
LPL,LIPC
LIPF,PPAP2C
PPAP2C,LIPG
PNLIP,LIPG
PNPLA2,LIPC
LIPG,MOGAT3
PNLIP,PNPLA2
LIPC,MOGAT3
PNPLA2,MOGAT3
LPL,MGLL
MGLL,LIPG
PNLIP,MOGAT3
PNPLA2,LPL
PNLIP,CLPS
PNPLA2,PPAP2C
CEL,PPAP2C
AGMO,MTNR1B
GLIS3,C2CD4B
C2CD4B,AGMO
MEF2A,MEF2C
GLIS3,MEF2A
GLIS3,SLC1A1
DGKB,C2CD4B
DGKB,MTNR1B
DGKB,GLIS3
GLIS3,AGMO
GLIS3,NEUROG3
GLIS3,MEF2D
DGKB,AGMO
GLIS3,SUFU
GLIS3,MTNR1B
MEF2C,MEF2D
GLIS3,MEF2C
MEF2A,MEF2D
C2CD4B,MTNR1B
KCNJ11,WFS1
SLC30A8,KIF11
IGF2BP2,KIF11
FTO,WFS1
TCF7L2,KCNJ11
SLC30A8,HHEX
MTNR1B,WFS1
KCNJ11,MTNR1B
HHEX,CDKAL1
IGF2BP2,MTNR1B
TCF7L2,CDKAL1
TCF7L2,IGF2BP2
SLC30A8,IGF2BP2
IGF2BP2,KCNJ11
SLC30A8,SLC30A6
KCNJ11,HHEX
CDKAL1,WFS1
TCF7L2,WFS1
FTO,SLC30A8
TCF7L2,FTO
IGF2BP2,WFS1
FTO,MTNR1B
IGF2BP2,CDKAL1
SLC30A8,MTNR1B
SLC30A8,KCNJ11
SLC30A8,WFS1
CDKAL1,KIF11
TCF7L2,HHEX
HHEX,WFS1
SLC30A8,CDKAL1
FTO,HHEX
FTO,CDKAL1
TCF7L2,MTNR1B
HHEX,MTNR1B
FTO,IGF2BP2
KCNJ11,CDKAL1
HHEX,KIF11
IGF2BP2,HHEX
TCF7L2,SLC30A8
CDKAL1,MTNR1B
TCF7L2,KIF11
FTO,KCNJ11
MAPK11,EGFR
BCAR1,BLK
BLK,MAPK14
EGFR,MAPK14
CD79B,CD79A
BCAR1,STAT3
STAT3,BLK
STAT3,CBL
EGFR,CBL
PLCG2,BLK
PLCG2,CBL
BLK,CD79A
CD79B,CBL
MAPK11,BLK
BCAR1,CBL
MAPK11,MAPK14
NGEF,BLK
EGFR,BLK
MAPK11,STAT3
EGFR,STAT3
CBL,MAPK14
CD79B,BLK
STAT3,MAPK14
PLCG2,CD79A
BCAR1,EGFR
CBL,BLK
CBL,CD79A
CD79B,PLCG2
PLCG2,EGFR
NEUROD1,ISL1
PAX4,INS
PAX4,NXNL1
BTC,PAX4
NEUROG3,ISL1
NKX2-2,ISL1
SLC2A2,ISL1
NKX2-2,SLC2A2
NEUROD1,NEUROG3
PAX4,NEUROD1
INS,NEUROG3
PAX4,ISL1
PAX4,NEUROG3
GCG,ISL1
NKX2-2,INS
SLC2A2,NEUROD1
GCG,PAX4
SLC2A2,INS
NKX2-2,NEUROD1
SLC2A2,NEUROG3
GCG,SLC2A2
GCG,BTC
GCG,NEUROD1
BTC,NEUROD1
PAX4,SLC2A2
NKX2-2,NEUROG3
FKBP11,PAX4
GCG,NKX2-2
BTC,NEUROG3
INS,ISL1
BTC,INS
GCG,NEUROG3
BTC,SLC2A2
BTC,ISL1
NKX2-2,PAX4
STAT5B,KITLG
JAK2,SOCS3
HIF1A,SIRT1
STAT5A,KITLG
KITLG,EPOR
EPO,SIRT1
STAT5A,EPO
JAK1,EPO
JAK2,EPOR
HIF1A,STAT5B
EPO,KITLG
HIF1A,EPOR
STAT5A,STAT5B
SOCS3,EPOR
EPO,EPOR
EPAS1,EPO
STAT5B,EPO
SOCS3,STAT5B
JAK2,EPO
JAK1,EPOR
STAT5B,EPOR
JAK1,SIRT1
EPOR,SIRT1
SOCS3,EPO
JAK1,SOCS3
STAT5A,EPOR
JAK1,STAT5A
JAK2,KITLG
STAT5A,SOCS3
HIF1A,EPO
JAK2,JAK1
JAK2,STAT5B
EPAS1,SIRT1
JAK2,STAT5A
HIF1A,EPAS1
JAK1,STAT5B
PPARA,APOA1
PPARA,PON1
CLU,ALB
PPARG,APOE
ALB,APOA1
ALB,PON1
ALB,APOE
APOE,PON1
PPARG,IL6
LPA,PON1
LPA,APOE
APOA2,APOE
CLU,APOA1
CLU,PON1
IL6,PON1
PPARA,IL6
APOA2,PON1
LPA,IL6
SREBF2,APOA1
LPA,APOA1
APOA2,ALB
SREBF2,PPARG
SREBF2,APOE
CLU,APOE
LPA,PPARA
ALB,IL6
APOA2,APOA1
APOE,APOA1
APOA2,LPA
PPARG,PON1
PPARG,APOA1
APOA1,PON1
PPARA,APOE
CLU,IL6
IL6,APOA1
ALB,PPARA
IL6,APOE
SREBF2,PON1
APOA2,PPARA
ALB,PPARG
SREBF2,PPARA
APOA2,PPARG
APOA2,CLU
LPA,CLU
SREBF2,ALB
LPA,ALB
GPI,PGM1
MAP3K1,GCK
HNF4A,NEUROD1
GCKR,INS
HNF4A,INS
GCKR,GCK
PGM1,GCK
GPI,GCK
HNF4A,GCK
FOXA2,HNF4A
IL6ST,OSM
JUN,IL6
IL6,NFKB1
IL6R,OSM
STAT1,SOCS3
SOCS3,STAT3
SOCS3,NFKB1
SOCS3,OSM
STAT1,NFKB1
JUN,SOCS3
JUN,NFKB1
STAT1,CEBPB
CEBPB,NFKB1
IL6R,NFKB1
IL6R,IL6
CEBPB,IL6
CEBPB,STAT3
SOCS3,FOS
IL6ST,FOS
SOCS3,IL6
STAT1,IL6
FOS,STAT3
JUN,CEBPB
STAT1,IL6ST
IL6R,STAT1
IL6,OSM
STAT3,NFKB1
FOS,OSM
IL6R,IL6ST
IL6R,STAT3
IL6ST,STAT3
JUN,STAT1
FOS,IL6
STAT1,STAT3
FOS,NFKB1
JUN,OSM
IL6ST,SOCS3
STAT1,FOS
STAT1,OSM
IL6R,SOCS3
JUN,STAT3
STAT3,IL6
IL6ST,IL6
STAT3,OSM
FOS,CEBPB
IL6R,CEBPB
JUN,FOS
UBC,TXN2
FOXO1,SIRT1
CAT,TXN2
UBC,SIRT1
FOXO1,SOD2
UBC,FOXO3
SOD2,SIRT1
SOD3,SOD1
SOD3,TXN2
CAT,SIRT1
SOD2,FOXO3
FOXO1,UBC
SOD1,TXN2
FOXO3,CAT
GPX1,AKT1
FOXO3,SIRT1
UBC,CAT
GPX1,SOD3
AKT1,SIRT1
AKT1,SOD1
SOD2,TXN2
GPX1,SOD1
GPX1,SOD2
SOD3,SOD2
GPX1,TXN2
FOXO3,AKT1
SOD2,UBC
UBC,SOD1
AKT1,CAT
GPX1,CAT
SOD2,AKT1
SOD3,CAT
SOD3,FOXO3
UBC,AKT1
SOD1,CAT
SOD2,SOD1
SOD3,AKT1
SOD2,CAT
FOXO1,CAT
UBE2I,RANBP2
SENP1,RANBP2
RGPD4,UBA2
SUMO4,RANBP2
UBC,SUMO4
RGPD4,SAE1
UBC,RANBP2
SENP6,SUMO4
RGPD4,UBC
UBE2I,UBA2
TOP2A,SENP6
SENP6,UBE2I
TOP2A,RANBP2
TOP2B,SENP1
SENP1,SUMO4
TOP2B,RGPD4
SENP6,RGPD4
TOP2A,UBC
TOP2B,RANBP2
RGPD4,SUMO4
SUMO4,UBA2
TOP2A,SENP1
SENP6,SAE1
UBC,SAE1
UBE2I,SUMO4
SAE1,UBA2
SUMO4,SAE1
SENP6,SENP1
TOP2A,RGPD4
SENP1,UBA2
RANBP2,SAE1
RANBP2,UBA2
TOP2A,SUMO4
TOP2A,TOP2B
TOP2B,UBC
UBC,UBE2I
TOP2B,SUMO4
RGPD4,UBE2I
SENP1,RGPD4
SENP6,UBA2
SENP6,TOP2B
SENP1,SAE1
TOP2B,UBA2
UBE2I,SAE1
TOP2A,UBA2
TOP2A,UBE2I
TOP2B,UBE2I
SENP1,UBE2I
SENP6,RANBP2
UBC,UBA2
NKX2-5,EP300
CDKN1C,TP53
IVL,TP53
HDAC1,PLAGL1
TP53,EP300
IVL,PLAGL1
NPPA,PLAGL1
CDKN1C,ABCC8
NPPA,NKX2-5
PLAGL1,NKX2-5
PLAGL1,RFX6
PLAGL1,EP300
HDAC1,TP53
PLAGL1,TP53
ADCYAP1R1,PLAGL1
ABCC8,PLAGL1
IVL,EP300
CDKN1C,PLAGL1
HDAC1,EP300
HDAC1,NKX2-5
FGF23,ACP5
QPRT,NT5E
INSR,FGF23
ALPL,NT5E
ACPP,NT5E
ENPP1,NADSYN1
ENPP1,IBSP
ENPP1,GYS2
ALPL,ENPP1
ENPP1,ACPP
ENPP1,FGF23
QPRT,ENPP1
QPRT,NADSYN1
ENPP1,INSR
ALPL,IBSP
ENPP1,NT5E
ENPP1,ACP5
FGF23,IBSP
IBSP,ACP5
MMP9,SRC
PGF,TGFB1
SRC,IGF1
FLT1,VWF
PGF,KDR
VEGFA,IGF1
MMP9,IGF1
KDR,TGFB1
PGF,NRP1
HIF1A,FLT1
VEGFA,SRC
HIF1A,IGF1
PGF,VWF
PGF,VEGFA
PGF,FLT1
VEGFA,NRP1
IGF1,FLT1
IGF1,KDR
MMP9,KDR
VEGFA,VWF
SRC,TGFB1
MMP9,VEGFA
NRP1,KDR
SRC,HIF1A
SRC,NRP1
IGF1,NRP1
SRC,FLT1
HIF1A,NRP1
MMP9,HIF1A
SRC,VWF
SRC,KDR
VWF,TGFB1
MMP9,TGFB1
FLT1,KDR
HIF1A,KDR
KDR,VWF
FLT1,NRP1
HIF1A,TGFB1
PGF,MMP9
VEGFA,HIF1A
IGF1,TGFB1
FLT1,TGFB1
VEGFA,FLT1
PGF,IGF1
MMP9,FLT1
MMP9,VWF
VEGFA,TGFB1
VEGFA,KDR
PGF,HIF1A
IGF1,VWF
CDK1,CREBBP
UBE2I,RB1
CDK1,TP53
CDK1,HMGA1
HMGA1,TP53
HMGA2,RB1
HIPK2,HMGA1
MYC,PPARG
MYC,CREBBP
CDK1,RB1
HMGA2,PRMT6
UBE2I,HMGA1
PRMT6,TP53
MYC,TP53
HMGA1,RB1
PPARG,CREBBP
MYC,RB1
TP53,RB1
HIPK2,UBE2I
UBE2I,CREBBP
HMGA1,CREBBP
PPARG,TP53
HMGA2,CDK1
HMGA1,PPARG
CDK1,MYC
HIPK2,TP53
PRMT6,HMGA1
HMGA2,MYC
HMGA2,HMGA1
PPARG,RB1
UBE2I,TP53
HIPK2,CREBBP
RB1,CREBBP
HMGA2,TP53
MYC,UBE2I
CDK1,UBE2I
MYC,HMGA1
TP53,CREBBP
ITPR3,TRPC1
TRPC3,ORAI1
ITPR3,AKT1
TRPC3,STIM1
ORAI1,TRPC1
ITPR3,PLCB2
TRPC1,PLCB2
ITPR3,STIM1
ATP2A2,STIM1
PLCB1,PLCB2
TRPC3,TRPC1
ITPR3,ANK1
TRPC4,ITPR3
STIM1,TRPC1
ATP2A2,ITPR3
ITPR3,ORAI1
TRPC4,STIM1
TRPC4,TRPC1
TRPC3,ITPR3
ATP2A2,ORAI1
ORAI1,STIM1
TRPC3,PLCB1
ATP2A2,AKT1
ITPR3,PLCB1
ATP2A2,PLCB1
TRPC4,TRPC3
TRPC4,ORAI1
TRPC3,PLCB2
KDM1B,KDM6B
POU5F1,TRIM28
SETDB1,POU5F1
ZFP57,RCOR2
SETDB1,TRIM28
SETDB1,DNMT3A
SETDB1,KDM6B
ZFP57,ASIC1
ZFP57,TRIM28
ZFP57,KDM6B
ZFP57,KDM1B
ZFP57,POU5F1
ZFP57,POU5F1B
ZFP57,SETDB1
RCOR2,KDM1B
POU5F1B,TRIM28
ZFP57,DNMT3A
DNMT3A,TRIM28
ZFP57,XRN1
HFE,SLC39A14
TF,TMPRSS6
HFE,HAMP
SLC11A2,HAMP
HFE,CYBRD1
HFE,SLC40A1
HFE,TMPRSS6
TF,TFR2
SLC11A2,TFRC
CYBRD1,SLC39A14
TF,SLC11A2
B2M,TFRC
SLC40A1,HAMP
TMPRSS6,SLC40A1
TFRC,CYBRD1
HFE,SLC11A2
SLC39A14,TFR2
TF,CYBRD1
TFR2,HAMP
HFE,TF
SLC11A2,TFR2
CYBRD1,TFR2
TF,TFRC
SLC39A14,HAMP
HFE,TFRC
SLC40A1,TFR2
HFE,TFR2
TF,SLC40A1
TFRC,HAMP
B2M,HFE
TMPRSS6,HAMP
TMPRSS6,TFR2
B2M,TF
TF,HAMP
TMPRSS6,CYBRD1
CYBRD1,HAMP
SLC11A2,SLC40A1
TFRC,SLC40A1
SLC11A2,CYBRD1
SLC11A2,SLC39A14
TFRC,SLC39A14
SLC11A2,TMPRSS6
CYBRD1,SLC40A1
SLC39A14,SLC40A1
TFRC,TMPRSS6
UBC,WFS1
JAZF1,CDKAL1
UBC,CDKAL1
TCF7L2,UBC
FTO,JAZF1
JAZF1,MTNR1B
KCNJ11,JAZF1
JAZF1,WFS1
FTO,UBC
JAZF1,HHEX
IGF2BP2,UBC
IGF2BP2,JAZF1
TCF7L2,JAZF1
SLC30A8,JAZF1
PRSS3,REG1A
PRSS58,SPINK1
SPINK1,SPINK2
PRSS3,RPL14
SPINK1,TMPRSS15
CTRC,RPL14
PRSS1,SPINK1
CTRC,SPINK1
RPL14,REG1A
PRSS58,REG1A
PRSS1,REG1A
CTRC,REG1A
CTRC,PRSS3
SPINK1,REG1A
PRSS3,SPINK1
RPL14,SPINK1
SPINK1,FTH1
PRSS58,RPL14
SPINK1,EGFR
RPL14,PRSS1
UBC,CISD2
HSP90B1,WFS1
ATF6,WFS1
ATF6,HSP90B1
CISD2,WFS1
UBC,HSP90B1
ATF6,UBC
EIF2AK3,HSP90B1
EIF2AK3,WFS1
UBC,PABPC1
IGF2BP2,LAMB2
IGF2BP2,PABPC1
UBC,LAMB2
IGF2,IGF2BP2
SLC2A5,INS
GCG,SLC2A5
FOXA2,INSR
INSR,HNF1A
SLC2A5,SLC2A2
SLC5A1,INS
SLC2A5,GCK
GCG,FOXA2
SLC2A2,SLC5A1
SLC2A5,SLC5A1
SLC2A5,INSR
GCG,GCK
GCG,IGF1R
GCG,SLC5A1
SLC2A2,FOXA2
FOXA2,IGF1R
GCG,INSR
SLC5A1,HNF1A
GCG,HNF1A
SLC2A2,INSR
SLC2A5,IGF1R
INSR,GCK
SLC2A2,GCK
IGF1R,SLC5A1
SLC2A2,IGF1R
CCL4,CCL2
CCL11,CCL4
CCL3,CD4
CCL4,CD4
CCL11,CCL2
CCL8,CD4
CXCR4,CCL3
CXCL12,CCL5
CCR5,CD4
CCR5,CCL2
CCL8,CCR5
CXCL12,CCL2
CCL2,CD4
CCL11,CD4
CCR5,CCL3
CXCR4,CCL2
CXCL12,CD4
CCL5,CCL4
CXCL12,CCL4
CXCL12,CCL3
CXCR4,CCL11
JAK2,CCL4
CXCR4,CCL8
CXCR4,CCR5
CXCL12,CCL8
CXCL12,CCL11
JAK2,CCL2
CCL4,CCL3
CCL5,CCL3
CCL11,CCR5
CXCL12,JAK2
CCR5,CCL4
JAK2,CCL3
CCL5,CD4
CCL5,CCR5
CCL11,CCL5
CXCR4,CCL5
CXCR4,JAK2
CCL11,CCL3
CCL2,CCL3
CCL5,CCL2
CXCR4,CXCL12
JAK2,CCR5
CXCL12,CCR5
CXCR4,CD4
CXCR4,CCL4
NCOR1,EP300
NCOA1,EP300
PPARG,EP300
NCOR2,PPARGC1A
PPARG,NCOR1
PPARGC1A,EP300
NCOA1,NCOR1
NCOA2,MED1
ADIPOQ,NCOR1
MED1,NCOR1
NCOA1,HDAC3
NCOR2,LEP
HDAC3,PPARG
NCOR2,MED1
HDAC3,EP300
HDAC3,PPARGC1A
NCOA2,EP300
NCOA1,MED1
NCOR2,NCOA1
HDAC3,MED1
NCOR2,NCOR1
ADIPOQ,EP300
NCOA2,LEP
MED1,PPARG
NCOA1,ADIPOQ
NCOA2,HDAC3
ADIPOQ,PPARG
MED1,EP300
NCOA1,LEP
NCOR2,PPARG
HDAC3,NCOR1
ADIPOQ,PPARGC1A
NCOA1,PPARG
PPARG,PPARGC1A
NCOA2,NCOR1
ADIPOQ,HDAC3
NCOA2,PPARG
NCOA1,PPARGC1A
LEP,EP300
NCOA2,NCOA1
LEP,MED1
NCOA2,ADIPOQ
NCOA2,PPARGC1A
NCOR2,ADIPOQ
NCOA2,NCOR2
ADIPOQ,MED1
NCOR1,PPARGC1A
NCOR2,EP300
LEP,PPARGC1A
NCOR2,HDAC3
CAPN10,CHMP4B
HMP70,CAPN10
GPR35,CAPN10
CAPN10,INS
TCF7L2,CAPN10
CAPN10,KCNJ11
TCF7L2,INS
CAPN10,CHMP4C
CAPN10,RNPEP
KCNJ11,PPARG
CAPN10,PPARG
CAPN10,RNPEPL1
TCF7L2,PPARG
CHMP4C,CHMP4B
PTPN11,PIK3CA
JAK2,PIK3R1
JAK1,GRB2
GRB2,IRS1
JAK2,GRB2
IRS1,PIK3CA
JAK2,IGF1R
JAK2,PTPN11
JAK2,PIK3CA
PTPN11,GRB2
SOCS1,IRS1
JAK2,SOCS1
PTPN11,IGF1R
JAK1,PTPN11
JAK2,IRS1
MAPK8,JAK1
JAK1,IGF1R
JAK1,PIK3CA
JAK1,PIK3R1
JAK1,INSR
MAPK8,IRS1
JAK1,IRS1
PTPN11,SOCS1
JAK1,SOCS1
JAK2,INSR
JAK2,MAPK8
MAPK8,PTPN11
STAT5A,LCK
CTLA4,AKT1
LCK,AKT1
FYN,CTLA4
STAT5B,AKT1
FYN,CD86
LCK,STAT5B
FOXP3,LCK
LCK,CD86
FYN,LCK
STAT5A,AKT1
CTLA4,AP2M1
FYN,STAT5B
CTLA4,STAT5B
CD86,CD80
CD86,AKT1
ICOSLG,CTLA4
FYN,CD80
CD86,CTLA4
LCK,CD80
FYN,STAT5A
FOXP3,CD86
CTLA4,CD80
LCK,CTLA4
FOXP3,AKT1
FOXP3,CD80
NKX2-2,GCK
FOXO1,PAX6
PAX6,CCND1
PAX6,SMARCA4
SMARCA4,NEUROD1
PAX6,MAFA
FOXO1,NKX2-2
NKX2-2,MAFA
NEUROD1,CCND1
PAX6,INS
FOXO1,CCND1
PAX6,NEUROD1
PAX6,GCK
NKX2-2,FOXA2
PAX6,FOXA2
INS,CCND1
PAX6,NKX2-2
PDX1,PAX6
SMARCA4,CCND1
PDX1,NKX2-2
ADPRM,GPD2
GNPAT,AGPAT9
GK,GPAM
AGPAT6,GPAM
GPD2,AGPAT9
ADPRM,GPAM
ADPRM,AGPAT9
AGPAT6,GPD2
GK,ACLY
GK2,GPD2
AGPAT6,GPAT2
GK2,GPD1
GK2,GPAM
AGPAT6,GNPAT
GPD1,ACLY
GPAM,ACLY
GPAT2,GPD2
GPD2,GPD1
GNPAT,GPD2
AGPAT6,ADPRM
GK,GPD1
GPD1,AGPAT9
GPD2,GPAM
GK2,ACLY
GPAT2,GPD1
GPAT2,GK2
GK2,AGPAT9
GPD1,GPAM
GPAM,AGPAT9
AGPAT6,GPD1
AGPAT6,GK
GK,GPAT2
GPAT2,AGPAT9
ADPRM,GPD1
AGPAT6,GK2
GNPAT,GPD1
ADPRM,GPAT2
AGPAT6,AGPAT9
GK,GPD2
GK,AGPAT9
GPD2,ACLY
MYD88,IL1B
IL1B,IL1A
IL1RAP,IL1B
MYD88,IL1RAP
IL1RN,IL1R1
HNRNPD,IL1RN
IL1RN,IRAK2
IL1A,IL1RN
IRAK3,IL1RN
MYD88,IRAK3
TOLLIP,IL1R1
IL1B,IL1R1
IRAK3,IRAK2
IL1A,IL1R1
IL1A,IRAK3
IL1R2,IL1B
IL1RAP,TOLLIP
IL1R2,IL1RAP
IL1RAP,IL1RN
MYD88,IL1A
IRAK2,IL1R1
TOLLIP,IL1RN
MYD88,IL1RN
IRAK3,IL1R1
IL1R2,IL1A
MYD88,TOLLIP
TOLLIP,IL1B
IL1B,IRAK3
IL1B,IL1RN
IL1RAP,IRAK3
IL1RAP,IRAK2
TOLLIP,IRAK3
TOLLIP,IL1A
IL1RAP,IL1A
MYD88,IL1R1
IL1R2,IL1R1
IL1A,IRAK2
MYD88,IRAK2
IL1RAP,IL1R1
IL1B,IRAK2
TOLLIP,IRAK2
IL1R2,IL1RN
KLF11,GAPDH
SMAD3,KLF11
SMAD3,EP300
PCK1,KLF11
SMAD3,MAPK1
EP300,SMAD7
SMAD7,GAPDH
SIN3A,EP300
KLF11,EP300
KLF11,STAT3
SIN3A,STAT3
SIN3A,SMAD3
KLF11,MAPK1
EP300,MAPK1
EP300,GAPDH
STAT3,EP300
STAT3,SMAD7
KLF11,SMAD7
MAOB,KLF11
STAT3,GAPDH
STAT3,MAPK1
GAPDH,MAPK1
PCK1,EP300
SMAD3,STAT3
MAOA,KLF11
SMAD3,SMAD7
SMAD3,GAPDH
SIN3A,KLF11
PADI4,PTPN22
PTPN22,LCK
FYN,SKAP2
PTPN22,SHC2
PTPN22,CSK
PTPN22,CTLA4
PTPN22,SKAP2
FYN,ZAP70
FCRL3,CTLA4
ZAP70,CSK
STAT4,FYN
ZAP70,SHC2
STAT4,CTLA4
PTPN22,ZAP70
STAT4,CSK
PTPN22,STAT4
FCRL3,ZAP70
FCRL3,PTPN22
STAT4,LCK
PADI4,CTLA4
LCK,ZAP70
CTLA4,ZAP70
PADI4,FCRL3
PTPN22,FYN
FYN,SHC2
PADI4,STAT4
LCK,CSK
FYN,CSK
